阅读,评论,标题,作者,最后更新
87053,78,【名博论市】做好热门股杀跌的准备,质利跑,06-16 13:12
12265,61,《比亚迪的千元之路》新高和万亿市值，已经成为必然。,大开眼界520,06-16 10:39
12312,68,这下比亚迪年底股价过千真有希望了 看王传福讲话！6-1,春暖花开免摇号,06-16 10:38
13836,117,踏空小散别着急上火 比亚迪会回调给你们机会上车的 6-,春暖花开免摇号,06-16 10:38
16818,69,宁德单打一就440元！比亚迪五合一值多少钱？6-10,牛股天下无敌,06-16 10:37
17813,92,《对比亚迪投资者说的一点心里话》之四 6月12日,牛股天下无敌,06-16 08:10
1,0,跑跑跑跑,东财网友4075513400458380,06-16 13:17
3002,33,我研究了二十年股票，研究比亚迪更是用心，我觉得此货,天亮以后还是朋友,06-16 13:17
95,1,毕压低变成B样的[捂脸],一劳永益,06-16 13:17
1,0,我在三峡能源等你们外面已是绿油油的一片。大资金已在,抓妖小旋风,06-16 13:17
2154,2,不是所有的缘都能长久，有的缘，慢慢就没了，有的缘，,买跌不买张,06-16 13:17
1,0,快抄底呀,曲径通幽价值再造,06-16 13:17
8298,440,迪哥还是牛的哦,刚入2个月的韭菜,06-16 13:17
5,0,比亚迪6月16日加速下跌,比亚迪资讯,06-16 13:16
510,5,今天晚上终于抢到了300股融券卖出比亚迪了！能不能发,共赢经济学,06-16 13:16
4470,46,小米牌汽车快了？！大规模“急聘”透露最新动向 造车,小米集团-W资讯,06-16 13:15
3771,25,昨天230入的，今天222补了一下，现在成本225，希望不,加油我的小白,06-16 13:15
7,0,抄底，抄底，放半年！,六六大顺688,06-16 13:15
6041,24,最近看到每天都有人发140买的，然后陆续卖出在高点的,操盘手来了,06-16 13:15
1552,5,十多年了⋯如果不是美股一路爆走，我不会发现我难受，,涨停板C位,06-16 13:15
49,0,140都过来了还怕这几个点的回调吗？毕竟涨了百分之50,王传福漳州分福,06-16 13:14
22,0,要坚持了，都开始跑了,跌不休,06-16 13:14
24,0,兄弟，下来，让我接一点,嚣张的屠夫,06-16 13:14
244,2,比亚迪阶段性反弹结束了！即将步入又一次长时间调整！,堆金为富的小龙女,06-16 13:14
74,1,各大股神出来分析分析是什么情况。,基民漂流记,06-16 13:14
27,0,废话，等于没说,东财网友2394513721564604,06-16 13:14
22546,15,大盘三阴聚首击穿30日线，3500点大关会否不保？,恬淡虚无股心常在,06-16 13:13
40,0,转发,能割善捂369369,06-16 13:13
395,5,瞎猜收盘跌3点以内，看看准不准,SongZuEr,06-16 13:13
89,0,我觉得后天才是抄底的最好时机,用寿命换涨停,06-16 13:12
8628,203,比亚迪王传福：国产新能源车品牌技术已全面超越合资,比亚迪资讯,06-16 13:11
60,0,还不快跑人才们,有影有迹2,06-16 13:11
248,3,垃圾股，天天跌，不如卖饮料的！,股友8936k288n6,06-16 13:11
63,0,今天这么多进来的，看来要跌了玛德[捂脸],红星亮四方,06-16 13:11
1327,2,答应的文章昨天发了，反响不错，虽然也有喷子但支持的,轩逍客,06-16 13:11
4084,2,新能源遇阻下跌，白酒拉升！白酒、新能源、医药、半导,咩咩tt,06-16 13:10
2163,2,每股143～233涨了90块钱，接下来大盘回调为期两个月，,莫轻信,06-16 13:09
6307,0,自动驾驶究竟在颠覆谁？,新能源汽车ETF,06-16 13:09
97,0,应该和华为合作，估计一山不容二虎……[俏皮],天山银狐灵仙境,06-16 13:09
577,5,那个评论里说比亚迪300以内随便买的人还在吗？出来，,黄淮1988,06-16 13:09
7275,8,新能源大跌超5%，是不是到了抄底的时候了？白酒医药加,小草论市,06-16 13:08
88,0,今天加仓刚好,BJ777,06-16 13:08
356,5,任总最近电话不敢接，秘书问为什么，任总说最怕有人打,工行一枝花,06-16 13:08
100,0,今天要跌停的节奏啊,股友820y3187Q9,06-16 13:08
762,1,我在牛股天下无敌的帖子里回复了一下，关于大规模减持,n338913676196698,06-16 13:08
101,0,李一恩，别砸盘,黎明前抄底,06-16 13:08
229,2,233出的，希望到200再陆续建仓。,cxl_2017,06-16 13:08
289,3,高污染高能耗，电池处理更是世界难题，不是未来方向,股友mCiWGl,06-16 13:08
103,0,这么好的上车机会,BJ777,06-16 13:07
294,3,回调加仓吧，现在要管住手手,狗蛋的菜花,06-16 13:07
2351,5,节前我劝过吧里的朋友小心一点，不知道当时有没有人听,苏州狂少,06-16 13:07
2057,4,大家早上好，说下当前思路，静待消息面明朗，,短中线mei95999,06-16 13:06
4060,23,比亚迪需要回调或长时间调整？,积善之家8,06-16 13:06
556,1,今天就知道会跌，但是没有想到跌这么多，心痛，不过还,股友5O9979656N,06-16 13:05
92,0,浪了浪了吹泡泡叫人高位截瘫，惨兮兮160见了，还在吹,海哪边,06-16 13:05
81,0,中西部省份接连降低落户门槛 除了增加人口还有这些原,五朵金花开,06-16 13:05
2403,2,留下的都是有信仰的，像我这种属于墙头草，先撤退了，,YJYMCA,06-16 13:05
1161,15,昨天就说了放量滞涨，今日开启下跌模式，没人听，不知,静如宝马,06-16 13:05
23865,11,0615股评：A股空头宣泄情绪，半导体芯片为何大涨？白,万姐理财,06-16 13:05
150,1,迪迪，我会回来的,基民8363M3939k,06-16 13:05
723,8,绝望，256的本还有希望吗？[哭],基民Dbg3ep,06-16 13:05
151,1,转站三峡，再从头开始。,股友937G66533q,06-16 13:04
92,0,网络安全龙头601360调整到位，逢低抄底建仓买入，看好,日进成金de弗兰德,06-16 13:04
119,0,明天美联储加息，大家都S透了,那山那人那狗,06-16 13:04
1421,7,给孩子的礼物！ 比亚迪在洛杉矶推出纯电动校车 6-6,牛股天下无敌,06-16 13:04
4128,12,比亚迪231.54卖出早上在222.28买的部分，完成日内首T,核心资产后援会长,06-16 13:04
101,0,值得潜伏的十倍大牛股！！！,独角韭菜,06-16 13:04
97,0,从140涨到240，可以了，知足吧,牛转钱坤888,06-16 13:04
195,1,希望涨涨⋯,股友wYtxOD,06-16 13:03
430,3,明天很关键,云飞扬FLY,06-16 13:03
251,1,谢谢你，我爱你,牛股不牛不买,06-16 13:03
219,1,比亚迪牛逼，买车认准比亚迪,完美错过主升浪,06-16 13:03
10783,391,又火了！王传福发声：国产新能源车品牌技术已全面超越,比亚迪资讯,06-16 13:02
221,1,沉住气，小受大盘拖累,上玄墨,06-16 13:02
19230,171,比亚迪王传福大胆预测：2030年新能源汽车在中国渗透率,比亚迪资讯,06-16 13:02
247,2,迪哥，冲,狗蛋的菜花,06-16 13:01
127,0,你站岗了吗？,rockclimbing2137,06-16 13:01
2473,0,创业板大跌，周期新能源均大跌 我们应该如何看待当前,吉小財,06-16 13:01
535,4,水军们不用顶我贴了，昨日已经卖了,刀片电池技术,06-16 13:01
241,1,比亚迪永远滴神,金银腾达的玉小刚,06-16 13:00
264,1,趋势来了！,收益10以上怎么办,06-16 13:00
332,3,继续低开高走,东方短线高手,06-16 13:00
150,0,最佳清仓点就是盈利％20，一点都不假，昨天我盈利百分,股友Z3J27,06-16 12:59
408,2,苹果看上比亚迪刀片电池啦！！！,智慧之星,06-16 12:59
300,2,造车的王者，比亚迪，我的爱,超超专属,06-16 12:59
315,3,看到500,爱阿光,06-16 12:59
241,1,比亚迪永远滴神,金银腾达的玉小刚,06-16 13:00
408,2,苹果看上比亚迪刀片电池啦！！！,智慧之星,06-16 12:59
378,2,买买买冲鸭下午要涨，上午洗盘快买,一位帅哥,06-16 12:59
300,2,造车的王者，比亚迪，我的爱,超超专属,06-16 12:59
315,3,看到500,爱阿光,06-16 12:59
365,2,一路看你飞上来，难道都不回调的吗,杨超越V12,06-16 12:59
245,1,[赞][赞][赞],股友JpH5lf,06-16 12:58
195,1,这才是明确的受益者,君臣庆会格,06-16 12:58
